T,L,E,Ms,Cv,chi_s,U,periodica,intento
0.5,16,-263.5485142857111,0.4389737723214286,0.10855822443909346,0.30420824601402785,0.6627919490875271,False,17
0.1,16,-269.8039428571411,0.4980558035714286,0.03069035586804602,0.020624795918351424,0.6666237656456413,False,17
3.5,16,-105.8800000000029,0.04502566964285714,0.07223973760933021,0.04280087017128282,0.3060920734412875,False,14
3.0,16,-115.47817142857403,0.04633314732142857,0.08176830013605417,0.05158153058567179,0.31913663532365477,False,14
2.5,16,-127.10954285714186,0.049429129464285716,0.10611524308367506,0.07120988746811223,0.30982951225813293,False,14
2.0,16,-141.88085714286055,0.05354185267857143,0.1337647760682401,0.10431330480707907,0.31516458371712897,False,14
1.5,16,-162.23948571428298,0.061219308035714286,0.19845205509635536,0.18544366363732984,0.3040634471902409,False,14
1.0,16,-199.95108571428653,0.10721540178571429,0.514157975306091,0.8935850685586737,0.2539316931690083,False,14
0.5,16,-262.1825714285593,0.36801283482142855,0.20768668239747967,8.281777353156897,0.5870172829708681,False,14
0.1,16,-269.80165714285613,0.49803404017857145,0.03074892728136546,0.020870113998725515,0.6666232773968912,False,14
3.5,16,-105.70600000000155,0.045186941964285715,0.06789320280612181,0.042754108395590365,0.31205691424329285,False,21
3.0,16,-115.83600000000412,0.04670703125,0.0817913422619046,0.05220983203124999,0.3205232077362936,False,21
2.5,16,-127.08154285714909,0.049424107142857145,0.10381395851224397,0.07194443163265306,0.3127379501654204,False,21
2.0,16,-141.83479999999935,0.053390625,0.13387578162946667,0.1034817053571429,0.31170450857316556,False,21
1.5,16,-162.38114285714448,0.061756138392857145,0.19649549376417655,0.18944388345025512,0.30927401049211434,False,21
1.0,16,-200.17108571428653,0.10926450892857142,0.5118554842347294,0.9363350443239797,0.27400152242672127,False,21
0.5,16,-263.5848571428546,0.4410825892857143,0.10817605994884616,0.24922091836732818,0.6634659908290881,False,21
0.1,16,-269.79594285714154,0.4979737723214286,0.03092214158755268,0.021091230070098277,0.666622794767913,False,21
3.5,16,-105.58045714285903,0.04528683035714286,0.06927234177009656,0.043059773232507315,0.30725629155535694,False,22
3.0,16,-115.59502857143306,0.04720814732142857,0.08332186427295972,0.05392114665710035,0.3154912529671513,False,22
2.5,16,-127.30828571428701,0.049701450892857144,0.1039152570918361,0.0717129711415816,0.3103604282765724,False,22
2.0,16,-142.01622857143042,0.053008928571428575,0.12890652852041384,0.10575820854591833,0.2975445399254072,False,22
1.5,16,-162.23039999999963,0.06123828125,0.19435276063492463,0.1881304676339286,0.29407518757913653,False,22
1.0,16,-199.79874285714368,0.09995200892857142,0.5099748152550774,0.7586172675382654,0.279665297381672,False,22
0.5,16,-263.44817142856476,0.4400697544642857,0.1139630281124937,0.2697673748405691,0.6632121923103225,False,22
0.1,16,-269.8007999999981,0.4980290178571429,0.03141046428254412,0.021104094387709438,0.6666228027140747,False,22
3.5,16,-106.05177142857275,0.04545424107142857,0.0678842327821746,0.043121808582361504,0.31834713223957034,False,18
3.0,16,-115.46474285714245,0.0471015625,0.08279341880810638,0.053413030505952364,0.3179132661688928,False,18
2.5,16,-127.00257142857565,0.04837890625,0.10061513872449154,0.07106638950892856,0.29462718701534485,False,18
