mcs,E,M,Ms,E_prom,E2_prom,M_prom,M2_prom,Ms_prom,Ms2_prom,Ms4_prom
89,-269.5999999999982,2,0.00390625,269.6933333333319,72735.08799999907,0.022222222222222223,2.977777777777778,0.002387152777777778,3.441704644097222e-05,5.4138298663828106e-08
90,-269.9999999999982,0,0.0,269.69670329670186,72736.9002197793,0.02197802197802198,2.9450549450549453,0.0023609203296703295,3.403883713942308e-05,5.354337230488494e-08
91,-269.9999999999982,0,0.0,269.69999999999857,72738.67304347733,0.021739130434782608,2.9130434782608696,0.002335258152173913,3.3668849779211954e-05,5.296137912765793e-08
92,-269.5999999999982,2,0.00390625,269.69892473118136,72738.08688171952,0.043010752688172046,2.924731182795699,0.0023521505376344087,3.347089213709677e-05,5.2394405488044985e-08
93,-269.9999999999982,0,0.0,269.7021276595731,72739.8093617012,0.0425531914893617,2.893617021276596,0.002327127659574468,3.311481881648936e-05,5.183701819561897e-08
94,-269.9999999999982,0,0.0,269.70526315789334,72741.49557894644,0.042105263157894736,2.863157894736842,0.002302631578947368,3.276624177631579e-05,5.1291365372507196e-08
95,-269.9999999999982,0,0.0,269.70833333333195,72743.14666666575,0.041666666666666664,2.8333333333333335,0.0022786458333333335,3.24249267578125e-05,5.075708031654358e-08
96,-269.9999999999982,0,0.0,269.7113402061842,72744.76371133928,0.041237113402061855,2.804123711340206,0.0022551546391752575,3.2090649162371135e-05,5.023381144730086e-08
97,-269.9999999999982,0,0.0,269.71428571428436,72746.34775510112,0.04081632653061224,2.7755102040816326,0.002232142857142857,3.176319355867347e-05,4.97212215345733e-08
98,-269.9999999999982,0,0.0,269.7171717171704,72747.89979797888,0.04040404040404041,2.7474747474747474,0.0022095959595959595,3.144235321969697e-05,4.921898697361802e-08
99,-269.9999999999982,0,0.0,269.71999999999866,72749.42079999908,0.04,2.72,0.0021875,3.11279296875e-05,4.8726797103881836e-08
100,-269.5999999999982,-2,0.00390625,269.7188118811868,72748.77465346442,0.019801980198019802,2.732673267326733,0.002204517326732673,3.097080948329208e-05,4.82466588220974e-08
101,-269.1999999999982,4,0.0078125,269.71372549019475,72746.0282352932,0.058823529411764705,2.8627450980392157,0.002259497549019608,3.12655579810049e-05,4.781017481696372e-08
